experiment,feature,model,target,n_seeds,n_samples_mean,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std,Pearson_R_mean,Pearson_R_std,Spearman_R_mean,Spearman_R_std,MAPE_mean,MAPE_std,sMAPE_mean,sMAPE_std,NRMSE_mean,NRMSE_std
predictions_OpenADMET_FNN_ECFP,ECFP,FNN,HLM CLint,5,752.0,109.75788957938478,8.41347246523702,47.48648378093331,5.669588910614536,0.25746997773498725,0.06962439436174914,0.5177668303378967,0.05640118733858707,0.5349130838650316,0.0482939142348921,228.0937871509734,46.94356582171912,99.27360468577663,8.901293661922715,2.0600359382321862,0.1786799176155282
predictions_OpenADMET_FNN_ECFP,ECFP,FNN,KSOL,5,1026.0,81.86439559363676,1.7599291724073662,62.475637711084104,1.321703518419552,0.49629072448947154,0.020451518196810542,0.7075944476587788,0.013639128856197759,0.7040329289813075,0.019324686165519297,75.43109325946459,10.695215662571936,70.00484117926796,2.206252994894795,0.5611424567828178,0.008591351387705996
predictions_OpenADMET_FNN_ECFP,ECFP,FNN,LogD,5,1008.0,0.5000488974333778,0.01371611081430353,0.35407181588725917,0.006451526832569694,0.8213213026651826,0.007843631181984924,0.9066752884701057,0.004189304427939412,0.9064921812447222,0.0050483476700410555,14.848091334002167,0.2531520073630043,25.28779825089495,0.9921352838959753,0.22927461340082528,0.007281816976559792
predictions_OpenADMET_FNN_ECFP,ECFP,FNN,MLM CLint,5,905.0,840.5546241772838,34.16622872018807,424.20224949064504,32.555712581435195,0.3398753142581995,0.02928457864104982,0.5867346744443716,0.02700941472443288,0.6955287841640081,0.04096853134433936,166.52034252155045,34.611633695632335,84.04583753358075,7.598444788165226,1.468520132729794,0.05694643221539437
predictions_OpenADMET_Phase1_ElasticNet,AtomPair,XGBoost,HLM CLint,10,752.0,111.00706249707089,17.533929837606383,43.85086461373783,2.5132698973000056,0.2861717275279743,0.04925848126821735,0.5507524977140762,0.05329880510453243,0.6250952247253739,0.03265482197832904,208.2466562698258,21.717410536190826,87.51708215858967,4.3978198455525135,2.055073544524271,0.19842671838469111
predictions_OpenADMET_Phase1_ElasticNet,RDKitFP,XGBoost,HLM CLint,10,752.0,111.07116372837837,18.226854900020484,45.916538687581195,2.7823057199913013,0.2821535904832625,0.09558253506061419,0.550962616465971,0.07285192604235685,0.5747795310938523,0.02786535247345056,241.22272034536718,17.860665294966214,88.01869350192872,2.581547549561384,2.0564866988216295,0.2160952353110114
predictions_OpenADMET_Phase1_ElasticNet,TOPOTOR,XGBoost,HLM CLint,10,752.0,112.75670716220365,22.42226278123203,43.70517302295431,4.033481128035397,0.26602200478349736,0.11721459504713547,0.5182882975177557,0.11168086495148302,0.5964417085675261,0.029002166623775003,206.11097735807158,19.12225383230087,87.47238104369303,3.2191853453026464,2.0848042884579234,0.30073575346851117
predictions_OpenADMET_Phase1_ElasticNet,MACCS,XGBoost,HLM CLint,10,752.0,113.74775602040272,16.692366439732115,45.60593848955005,1.8440361702057944,0.24637508682594583,0.0879307911165762,0.5228095104902164,0.054598873018745296,0.5785506920173809,0.05310698057053243,240.5282862285954,34.04024104461525,90.01574398848254,4.3460049409131205,2.10649770121357,0.18465339522031754
predictions_OpenADMET_Phase1_ElasticNet,MOL2VEC,XGBoost,HLM CLint,10,752.0,114.84973690814527,19.465249930834243,45.341220848447385,2.9889750214396553,0.23348054925186684,0.11111529575063425,0.5129692387294786,0.08512404022010694,0.6059914913443866,0.031340474003802854,217.6945924618329,23.852834481452277,86.79760154367065,1.81522618105247,2.1270912390324663,0.25736130394033613
predictions_OpenADMET_Phase1_ElasticNet,RDKitFP,ElasticNet,HLM CLint,10,752.0,117.03196015552871,19.32542582133139,54.368157404064576,2.1822715667012984,0.20835645440622633,0.055198295145741594,0.45858940091248385,0.060568808668639985,0.46250042648863954,0.03590314516545544,328.5503713421136,30.830805185676248,112.51661832753737,3.344022154324635,2.1660820219321684,0.22902261149979924
predictions_OpenADMET_Phase1_ElasticNet,AtomPair,ElasticNet,HLM CLint,10,752.0,118.28350288204933,18.492524006395488,52.25270384080444,2.9347424031965863,0.18995628124626557,0.0458622435373053,0.4392052275026762,0.049544213067044,0.5428105491539463,0.030800550715058043,288.22927549428454,19.751702311708367,108.03580681630672,3.9054109031141997,2.1898722147123904,0.2084182806446219
predictions_OpenADMET_Phase1_ElasticNet,ECFP,ElasticNet,HLM CLint,10,752.0,119.34112932650376,19.625268915730317,52.40236222698418,3.50282844358587,0.1761442011507638,0.06917326704420408,0.4343437312239109,0.07297552743044441,0.5221390157677898,0.03176348041308722,294.49732834888385,26.446795851206037,106.14937313370028,4.607858737014047,2.208630522772218,0.231876712952652
predictions_OpenADMET_Phase1_ElasticNet,ECFP,XGBoost,HLM CLint,10,752.0,118.63058121971235,23.106277052435946,43.83489530988783,3.405595954061443,0.17475391415398783,0.22659838673027427,0.49799565214515384,0.0951130175566773,0.6133111524207624,0.04679710261887706,208.42609287672477,28.488262902644063,87.3198725502169,4.584744198502349,2.1965006570932872,0.34399900119170274
predictions_OpenADMET_Phase1_ElasticNet,MOL2VEC,ElasticNet,HLM CLint,10,752.0,120.85702310274579,19.049725039938817,55.59386254609899,2.9801750974088517,0.15395097462224788,0.06089217863356094,0.39807650024464863,0.06654266691882582,0.5183498118496883,0.027554114500774718,322.78550745596283,20.06992344030053,113.89913127560314,2.8711924278041923,2.2380613155657487,0.22474719270132504
predictions_OpenADMET_Phase1_ElasticNet,TOPOTOR,ElasticNet,HLM CLint,10,752.0,121.06628913441719,19.54524593050555,53.019480816796076,3.142695419651384,0.15223763258240364,0.050810373576592655,0.3919389578232991,0.0687236365864453,0.4999408384255258,0.022732398534991732,304.01790359810997,26.005713178279418,106.6874580067636,3.2777708179809952,2.24053847770321,0.21986541290212752
