experiment,feature,model,target,seed,n_samples,RMSE,MAE,R2,Pearson_R,Spearman_R,MAPE,sMAPE,NRMSE
predictions_OpenADMET_FNN_ECFP,ECFP,FNN,HLM CLint,0,752,109.13824398247347,53.711580318817866,0.18706755633332306,0.4667668963015938,0.48919504890339705,280.51958500162146,102.38291717052948,2.0631670372418247
predictions_OpenADMET_FNN_ECFP,ECFP,FNN,HLM CLint,1,752,111.67550031317295,48.03784995195951,0.22368073898633867,0.48507905456446987,0.503474814970219,242.05037870249396,104.24219437306812,2.1437846370229217
predictions_OpenADMET_FNN_ECFP,ECFP,FNN,HLM CLint,2,752,100.99503171125082,47.72882455183946,0.3592624966148257,0.6020870517981927,0.5278106163697894,228.21955567449632,102.46630309315894,1.876400880698682
predictions_OpenADMET_FNN_ECFP,ECFP,FNN,HLM CLint,3,752,104.15130777449713,49.670525283366445,0.2969279901001921,0.5486338392028371,0.5406385561709954,237.61738582006225,103.85766998262622,1.9055838624244192
predictions_OpenADMET_FNN_ECFP,ECFP,FNN,HLM CLint,4,752,122.82936411552951,38.28363879868325,0.22041110664025665,0.48626730982238997,0.613446382910757,152.062030556193,83.41893880950032,2.311243273773083
predictions_OpenADMET_FNN_ECFP,ECFP,FNN,KSOL,0,1026,80.52222901428158,61.45334049294292,0.522422592171665,0.7244499987840981,0.7270665214089247,89.5116901223749,73.71917364909363,0.5739701264202296
predictions_OpenADMET_FNN_ECFP,ECFP,FNN,KSOL,1,1026,79.45696228485181,60.79604380532035,0.5140531541002769,0.7197866332234157,0.7231321975632202,79.87579624595219,68.7609396050065,0.5533887760763556
predictions_OpenADMET_FNN_ECFP,ECFP,FNN,KSOL,2,1026,82.8514161967247,63.061144849930066,0.47998151134534184,0.6961645676547362,0.687874233323948,61.89000280933603,68.03091469258449,0.5534594435882266
predictions_OpenADMET_FNN_ECFP,ECFP,FNN,KSOL,3,1026,83.21309167424506,64.05301862691891,0.4787417808890637,0.6952142620278657,0.6909638009533636,77.61604197920411,69.52527944386527,0.5644649389703399
predictions_OpenADMET_FNN_ECFP,ECFP,FNN,KSOL,4,1026,83.2782787980806,63.014640780308305,0.4862545839410105,0.702356776603778,0.6911278916570812,68.26193514045573,69.98789850578987,0.5604289988589379
predictions_OpenADMET_FNN_ECFP,ECFP,FNN,LogD,0,1008,0.4817280384845325,0.34409345224617965,0.8254812423604416,0.9089726690657578,0.9080365438008765,14.473659066680817,23.929216003556842,0.21944227348621156
predictions_OpenADMET_FNN_ECFP,ECFP,FNN,LogD,1,1008,0.49717464325373895,0.35312988242459675,0.8271112320875189,0.9098367764586289,0.909112802739291,14.8441162887471,24.568955683107948,0.22605983146600303
predictions_OpenADMET_FNN_ECFP,ECFP,FNN,LogD,2,1008,0.5152935863080047,0.3542012878294502,0.8273712030862709,0.9098648326627585,0.9105607203552183,14.981926165957123,26.079534152937207,0.23718705647498073
predictions_OpenADMET_FNN_ECFP,ECFP,FNN,LogD,3,1008,0.5119265603600509,0.36144157614085887,0.8094057945903108,0.9004330872275712,0.9069711830256768,14.785568456371683,26.17712353525648,0.2356695162674351
predictions_OpenADMET_FNN_ECFP,ECFP,FNN,LogD,4,1008,0.4941216587605621,0.35749288079521013,0.8172370412013708,0.9042690769358114,0.8977796563025487,15.155186692254095,25.68416187961627,0.22801438930949586
predictions_OpenADMET_FNN_ECFP,ECFP,FNN,MLM CLint,0,905,784.7381435177218,427.396599265393,0.3525265731636721,0.5961588272068347,0.6992504805522655,169.09081353733785,89.58615858742756,1.393930392362915
predictions_OpenADMET_FNN_ECFP,ECFP,FNN,MLM CLint,1,905,869.5619221542717,380.1731240692982,0.3373912324360483,0.587385607313335,0.7586701097114517,129.5772473017461,74.09329588082754,1.5306291520756756
predictions_OpenADMET_FNN_ECFP,ECFP,FNN,MLM CLint,2,905,849.8600309450974,446.05425975807464,0.3648709293188881,0.6041587713093141,0.6658680493994239,178.7705221842673,90.39331854870306,1.4288984847840838
predictions_OpenADMET_FNN_ECFP,ECFP,FNN,MLM CLint,3,905,833.9338056399662,462.2685065232588,0.29050453770780726,0.5402200569060076,0.6530399873450562,216.47689204786,88.5111659296346,1.4769188173301409
predictions_OpenADMET_FNN_ECFP,ECFP,FNN,MLM CLint,4,905,864.6792186293619,405.11875783720063,0.35408329866458177,0.6057501094863667,0.7008152938118437,138.68623753654092,77.64524872131103,1.512223817096156
predictions_OpenADMET_Phase1_ElasticNet,AtomPair,ElasticNet,HLM CLint,0,752,109.03042438723458,51.21095914144419,0.1886729835112323,0.4345113466322624,0.5616082623660269,299.0370034969608,104.63064658215986,2.0611287981539634
predictions_OpenADMET_Phase1_ElasticNet,AtomPair,ElasticNet,HLM CLint,1,752,109.96797218418936,50.19684582224032,0.247239224086385,0.4972952934468966,0.5275010420873351,303.40877076533803,109.52362954051931,2.1110059831558328
predictions_OpenADMET_Phase1_ElasticNet,AtomPair,ElasticNet,HLM CLint,2,752,111.6123716529542,53.48474900044098,0.21746314960817625,0.4673374512867071,0.4786983334076368,295.25211918061945,111.5476792254549,2.073661930868442
predictions_OpenADMET_Phase1_ElasticNet,AtomPair,ElasticNet,HLM CLint,3,752,109.93415313463272,52.69192551435148,0.21668647753002646,0.46713183746757114,0.5783783002746843,288.78801699669043,110.12555447581391,2.0113885520883223
predictions_OpenADMET_Phase1_ElasticNet,AtomPair,ElasticNet,HLM CLint,4,752,122.88141936205767,49.773631979870885,0.2197501850175807,0.4820166177670038,0.5291607253941535,309.2328781046069,109.23653274695417,2.3122227817211147
predictions_OpenADMET_Phase1_ElasticNet,AtomPair,ElasticNet,HLM CLint,5,752,155.56297810221068,57.92896822218127,0.15540805971428662,0.4070960062958957,0.5658835335310837,282.9851157455761,111.25982038994695,2.536549055221626
predictions_OpenADMET_Phase1_ElasticNet,AtomPair,ElasticNet,HLM CLint,6,752,125.97987852983071,54.63529198564326,0.15272831399400388,0.39283601685916464,0.5171312851379318,307.88011548202286,111.98800988504216,2.425201752383947
predictions_OpenADMET_Phase1_ElasticNet,AtomPair,ElasticNet,HLM CLint,7,752,96.39990397770724,50.504331156349544,0.12484254336340739,0.38192715895776086,0.5362162423804443,284.3917521184601,108.22794081629257,2.0172226260774897
predictions_OpenADMET_Phase1_ElasticNet,AtomPair,ElasticNet,HLM CLint,8,752,100.14471555754736,47.84858320316169,0.24523699836208046,0.49687776742273343,0.5650646287617209,263.5027423692266,100.4607061682935,1.949324186624726
predictions_OpenADMET_Phase1_ElasticNet,AtomPair,ElasticNet,HLM CLint,9,752,141.3212119321289,54.25175238236081,0.13153487727547708,0.36502277889076584,0.5684631381984461,247.8142406833439,103.35754833258967,2.4010164808284413
predictions_OpenADMET_Phase1_ElasticNet,AtomPair,ElasticNet,KSOL,0,1026,87.50282106289087,69.96995150955982,0.4360296053954207,0.661039596422523,0.6634114638134141,111.7885861260043,80.93128386946053,0.623728452160538
predictions_OpenADMET_Phase1_ElasticNet,AtomPair,ElasticNet,KSOL,1,1026,84.3110974244342,67.18106672865186,0.4528652018471774,0.6733428665675549,0.6622421577786276,89.98796203244194,74.90308268169558,0.5871960577362392
predictions_OpenADMET_Phase1_ElasticNet,AtomPair,ElasticNet,KSOL,2,1026,87.7880092604563,70.53493985882868,0.4161660929482671,0.6457069380982602,0.6389473375330365,71.65753451720659,73.56388920111982,0.5864365992687882
predictions_OpenADMET_Phase1_ElasticNet,AtomPair,ElasticNet,KSOL,3,1026,86.91869706386895,69.14233797732622,0.43128325575914883,0.6571226739834324,0.6415684695750192,86.7460595367314,73.64920967388299,0.5896014202381017
predictions_OpenADMET_Phase1_ElasticNet,AtomPair,ElasticNet,KSOL,4,1026,86.0493987470484,68.98733956953629,0.4514955453824758,0.6741896144636234,0.6640797544937017,72.47274685180565,75.19910526985457,0.5790775108254682
predictions_OpenADMET_Phase1_ElasticNet,AtomPair,ElasticNet,KSOL,5,1026,88.20459746686468,71.54080572106002,0.4106056496627507,0.6412682150289383,0.6356977436808969,96.47570535064033,78.0495550325677,0.6197110498850488
predictions_OpenADMET_Phase1_ElasticNet,AtomPair,ElasticNet,KSOL,6,1026,87.22562798389767,70.23232526733126,0.42587663015580435,0.652628944057372,0.6450527419308184,90.75131032601205,75.4944809892763,0.5982553826775477
predictions_OpenADMET_Phase1_ElasticNet,AtomPair,ElasticNet,KSOL,7,1026,84.89423431997925,67.42826791838586,0.45453490809374464,0.6743055515760921,0.6636618262385792,85.0997522241466,72.82526724118033,0.573479063675765
predictions_OpenADMET_Phase1_ElasticNet,AtomPair,ElasticNet,KSOL,8,1026,82.54084588918003,64.64327139225287,0.475878583956292,0.6915591351422141,0.69512799737133,101.12309271651428,73.28286742404805,0.5811031105530797
predictions_OpenADMET_Phase1_ElasticNet,AtomPair,ElasticNet,KSOL,9,1026,83.73882965060825,66.93127643498028,0.46843376144016424,0.6848035300872315,0.684238441319767,83.95110630074434,73.6072492386367,0.5675918732883133
predictions_OpenADMET_Phase1_ElasticNet,AtomPair,ElasticNet,LogD,0,1008,0.6600751577368585,0.4976733055414827,0.6723387832976306,0.8205936155444882,0.8140048368167877,20.45628701621315,32.47374455072301,0.30068499591849435
predictions_OpenADMET_Phase1_ElasticNet,AtomPair,ElasticNet,LogD,1,1008,0.6869928148349751,0.5170189497803905,0.6698941449198934,0.8190461901172386,0.8129897566741955,20.475323683664964,32.997587861502545,0.3123680623041943
predictions_OpenADMET_Phase1_ElasticNet,AtomPair,ElasticNet,LogD,2,1008,0.7534717823359204,0.5409525671122349,0.6309053459011726,0.7950968008330997,0.797324681716066,21.907818043645015,36.56853596524028,0.34681928698098013
predictions_OpenADMET_Phase1_ElasticNet,AtomPair,ElasticNet,LogD,3,1008,0.688965708421085,0.513019965591801,0.6547850617648526,0.8098219520667744,0.8146907372167634,21.056360159251607,32.792216431932644,0.3171709143480466
